Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,70.26,353.7,240.094,476.863
1,70.18,384.08,240.112,478.089
2,72.54,430.94,240.05,493.964
3,95.42,459.28,273.768,497.889
4,75.38,401.12,240.111,478.92
5,95.22,411.04,273.772,481.317
6,106.88,483.1,273.591,495.568
7,139,462.26,326.719,485.085
8,98.98,489.46,251.564,491.577
9,120.22,545.74,301.64,492.955
10,155.66,520.5,349.342,496.518
11,76.58,566.3,208.697,485.974
12,121.34,566.96,285.968,477.688
13,70.86,655.76,188.478,466.353
14,94.94,702.88,242.819,445.219
15,111.18,702.58,274.445,427.304
16,132.72,821.24,300.985,369.369
17,130.44,840.08,299.832,354.889
18,179.72,864.14,345.25,335.03
19,181.46,828.88,346.081,348.371
20,176.74,914.18,348.372,270.291
21,171.92,917,330.826,270.663
22,306.2,886.24,445.809,309.93
23,235.52,865,376.558,316.419
24,271.3,868.62,401.012,331.74
25,326.7,937.16,428.515,227.062
26,404.92,940.74,465.664,236.859
27,453.92,930.52,478.239,248.447
28,474.8,896.28,460.31,292.667
29,541.58,938.16,472.282,228.755
30,425.22,839,448.188,339.043
31,643.64,947.62,440.201,223.726
32,570.34,938.86,450.003,247.551
33,606.2,911.76,427.466,273.214
34,637.8,902.4,425.956,283.298
35,649.9,909.66,401.319,278.869
36,635.92,896.56,405.623,293.443
37,716.24,939.12,385.978,234.27
38,566.42,984.28,419.085,137.086
39,580.22,921.12,421.456,231.746
40,614.7,850,387.613,348.261
41,673.96,926.06,387.492,260.813
42,726.2,890.7,346.012,277.388
43,567.28,932.2,400.966,247.115
44,670.92,931.42,339.473,224.452
45,648.5,871.74,348.798,320.044
46,658.22,969.34,376.316,173.543
47,645.7,949.68,379.878,207.835
48,636.6,923.8,378.405,259.621
49,604.58,895.06,377.871,284.901
